,values,eff,size,lowerCI_95%,upperCI_95%,feature
5,2.275582089552239,0.003611645531213582,108.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
6,3.1041847826086957,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
7,3.6220298013245036,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
8,4.158818288393904,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
9,4.5777368421052635,0.003611645531213582,108.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
10,4.942907514450868,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
11,5.294505208333333,0.003611645531213582,108.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
12,5.687271604938271,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
13,6.000413793103449,0.003611645531213582,108.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
14,6.335750000000001,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
15,6.6612580645161295,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
16,7.0505826086956525,0.003611645531213582,108.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
17,7.405488,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
18,7.8558079625292745,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
19,8.322270833333333,0.003611645531213582,108.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
20,8.758920289855071,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
21,9.199768683274023,0.003611645531213582,108.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
22,9.730810256410257,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
23,10.29989932885906,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
24,10.827237499999999,0.003611645531213582,108.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
25,11.373872549019605,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
26,11.804067375886524,0.003611645531213582,108.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
27,12.3918,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
28,12.991491935483872,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
29,13.613338582677164,-0.005647613728045677,108.0,-0.02400301530325879,0.012707787847167437,mean_interlog_time_ssl_interlog_time
30,14.371847457627117,-0.005647613728045677,107.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
31,15.345326732673266,-0.005647613728045677,109.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
32,16.18007142857143,-0.005647613728045677,106.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
33,17.430064516129033,-0.005647613728045677,109.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
34,18.305529411764702,-0.005647613728045677,106.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
35,19.32213253012048,-0.005647613728045677,107.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
36,20.8736,-0.005647613728045677,108.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
37,22.25073846153846,-0.005647613728045677,107.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
38,24.071818181818177,-0.005647613728045677,107.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
39,27.086151515151517,-0.005647613728045677,108.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
40,29.781583333333334,-0.005647613728045677,108.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
41,33.347857142857144,-0.005647613728045677,107.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
42,37.74936363636363,-0.005647613728045677,107.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
43,42.756,-0.005647613728045677,107.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
44,49.95713043478261,-0.005647613728045677,108.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
45,58.13217241379311,-0.005647613728045677,107.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
46,73.84822727272727,-0.005647613728045677,108.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
47,96.46385714285714,-0.005647613728045677,108.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
48,344.862,-0.005647613728045677,107.0,-0.005647613728045677,-0.005647613728045677,mean_interlog_time_ssl_interlog_time
0,0.0,0.05528601312057127,0.0,,,mean_interlog_time_http_interlog_time
1,0.041999999999999996,-0.003537516291193435,646.0,-0.021730126357315804,0.014655093774928935,mean_interlog_time_http_interlog_time
2,0.112,-0.003537516291193435,106.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
3,0.433857142857143,-0.003537516291193435,108.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
4,1.0473203883495146,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
5,2.0175670212765957,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
6,2.833405405405405,-0.003537516291193435,109.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
7,3.934394904458599,-0.003537516291193435,106.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
8,4.831978723404254,-0.003537516291193435,109.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
9,6.227078947368422,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
10,7.044168316831682,-0.003537516291193435,110.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
11,7.88625,-0.003537516291193435,104.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
12,8.966857142857142,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
13,9.966471544715446,-0.003537516291193435,108.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
14,10.920124999999999,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
15,11.88062441314554,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
16,12.908999999999999,-0.003537516291193435,108.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
17,14.228499999999999,-0.003537516291193435,111.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
18,15.196510204081633,-0.003537516291193435,104.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
19,16.31091836734694,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
20,17.781491228070177,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
21,18.979945945945946,-0.003537516291193435,108.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
