,y_true,y_pred,y_pred_proba
0,0,0,0.26230657
0,0,0,0.24178147
0,0,0,0.18278751
0,0,0,0.1581917
0,0,0,0.15067017
0,0,0,0.25210974
0,0,0,0.20091066
0,0,0,0.2654843
0,0,0,0.20961593
0,0,0,0.23213406
0,0,0,0.23213406
0,0,0,0.26390254
0,0,0,0.22045034
0,0,0,0.22045034
0,0,0,0.20834346
0,0,0,0.25219008
0,0,0,0.25219008
0,0,0,0.25219008
0,0,0,0.18470815
0,0,0,0.18470815
0,0,0,0.2364111
0,0,0,0.18404044
0,0,0,0.18404044
0,0,0,0.18404044
0,0,0,0.28975108
0,0,0,0.28888583
0,0,0,0.27817705
0,0,0,0.21559156
0,0,0,0.2628371
0,0,0,0.2628371
0,0,0,0.13002117
0,0,0,0.24744523
0,0,0,0.24473561
0,0,0,0.24473561
0,0,0,0.30390993
0,0,0,0.27520743
0,0,0,0.27520743
0,0,0,0.25017518
0,0,0,0.2686734
0,0,0,0.33762452
0,0,0,0.36712277
0,0,0,0.2886399
0,0,0,0.1184724
0,0,0,0.17039418
0,0,0,0.19612433
0,0,0,0.19612433
0,0,0,0.17039418
0,0,0,0.2900561
0,0,0,0.255926
0,0,0,0.29959926
0,0,0,0.24594758
0,0,0,0.33535507
0,0,0,0.3065573
0,0,0,0.3289414
0,0,0,0.38559055
0,0,0,0.24523011
0,0,0,0.22897772
0,0,0,0.3065573
0,0,1,0.5652405
0,0,0,0.42583463
0,0,0,0.42583463
0,0,0,0.33939552
0,0,0,0.33939552
0,0,0,0.33939552
0,0,0,0.17012936
0,0,0,0.17012936
0,0,0,0.14890017
0,0,0,0.26083827
0,0,0,0.25634754
0,0,0,0.25634754
0,0,0,0.26216742
0,0,0,0.28866678
0,0,0,0.32724074
0,0,0,0.17960349
0,0,0,0.08262407
0,0,0,0.08262407
0,0,0,0.049617372
0,0,0,0.012029018
0,0,0,0.010478298
0,0,0,0.06319135
0,0,0,0.158169
0,0,0,0.158169
0,0,0,0.22624435
0,0,0,0.1663543
0,0,0,0.44993258
0,0,0,0.34470767
0,0,0,0.20237751
0,0,0,0.20237751
0,0,0,0.20237751
0,0,0,0.20237751
0,0,0,0.3594801
0,0,0,0.3594801
0,0,0,0.3594801
0,0,0,0.3594801
0,0,0,0.3594801
0,0,0,0.3594801
0,0,0,0.15243769
0,0,0,0.15243769
0,0,0,0.15196566
0,0,0,0.15196566
0,0,0,0.15196566
0,0,0,0.23043449
0,0,0,0.23043449
0,0,0,0.23043449
0,0,0,0.21949603
0,0,0,0.21949603
0,0,0,0.19338568
0,0,0,0.12045573
0,0,0,0.14878038
0,0,0,0.07609658
0,0,0,0.07609658
0,0,0,0.07609658
0,0,0,0.07609658
0,0,0,0.07609658
0,0,0,0.08010385
0,0,0,0.10554604
0,0,0,0.10554604
0,0,0,0.10554604
0,0,0,0.15243769
0,0,0,0.15243769
0,0,0,0.22347762
0,0,0,0.22347762
0,0,0,0.15243769
0,0,0,0.15243769
0,0,0,0.14863779
0,0,0,0.15565556
0,0,0,0.31803706
0,0,0,0.31803706
0,0,0,0.31803706
0,0,0,0.293985
0,0,0,0.3358958
0,0,0,0.0580916
0,0,0,0.05338945
0,0,0,0.062224004
0,0,0,0.068106234
0,0,0,0.068106234
0,0,0,0.018000223
0,0,0,0.18602407
0,0,0,0.175028
0,0,0,0.21500228
0,0,0,0.15375037
0,0,0,0.14970087
0,0,0,0.16573863
0,0,0,0.22766474
0,0,0,0.24657509
0,0,0,0.24657509
0,0,0,0.4215698
0,0,0,0.3572348
0,0,0,0.404842
0,0,0,0.32677943
0,0,0,0.32677943
0,0,0,0.36910462
0,0,0,0.17895882
0,0,0,0.22229113
0,0,0,0.22229113
0,0,0,0.22482313
0,0,0,0.19740333
0,0,0,0.202436
0,0,0,0.18607475
0,0,0,0.1423088
0,0,0,0.16075923
0,0,0,0.10139051
0,0,0,0.10139051
0,0,0,0.10139051
0,0,0,0.13985151
0,0,0,0.13985151
0,0,0,0.4123282
0,0,0,0.4932714
0,0,0,0.1987831
0,0,0,0.16768813
0,0,0,0.16768813
0,0,0,0.16768813
0,0,0,0.16768813
0,0,0,0.16768813
0,0,0,0.17959893
0,0,0,0.19203365
0,0,0,0.19203365
0,0,0,0.19203365
0,0,0,0.28372812
0,0,0,0.1656591
0,0,0,0.22498038
0,0,0,0.23781389
0,0,0,0.23781389
0,0,0,0.23781389
0,0,0,0.23781389
0,0,0,0.28247887
0,0,0,0.25864694
0,0,0,0.2026331
0,0,0,0.18857352
0,0,0,0.19343536
0,0,0,0.21384384
0,0,0,0.22777821
0,0,0,0.13350128
0,0,0,0.13350128
0,0,0,0.14056706
0,0,0,0.14269327
0,0,0,0.1746857
0,0,0,0.27088234
0,0,0,0.21412511
0,0,0,0.19515248
0,0,0,0.19950469
0,0,0,0.19950469
0,0,0,0.19950469
0,0,0,0.29315874
0,0,0,0.29315874
0,0,0,0.2699391
0,0,0,0.26707405
0,0,0,0.24295314
0,0,0,0.24295314
0,0,0,0.17341782
0,0,0,0.17978024
0,0,0,0.18547891
0,0,0,0.18547891
0,0,0,0.17661954
0,0,0,0.17661954
0,0,0,0.17661954
0,0,0,0.15920046
0,0,0,0.16846654
0,0,0,0.16846654
0,0,0,0.16846654
0,0,0,0.16846654
0,0,0,0.16846654
0,0,0,0.24504976
0,0,0,0.2562733
0,0,0,0.2562733
0,0,0,0.2562733
0,0,0,0.2562733
0,0,0,0.2562733
0,0,0,0.20098534
0,0,0,0.15742089
0,0,0,0.15742089
0,0,0,0.15742089
0,0,0,0.1316025
0,0,0,0.20241565
0,0,0,0.20007086
0,0,0,0.18062362
0,0,0,0.18062362
0,0,0,0.18062362
0,0,0,0.14962767
0,0,0,0.16846654
0,0,0,0.26897052
0,0,0,0.22266923
0,0,0,0.20202024
0,0,0,0.21940562
0,0,0,0.21940562
0,0,0,0.21940562
0,0,0,0.21940562
0,0,0,0.27153537
0,0,0,0.29664826
0,0,0,0.13985151
0,0,0,0.13985151
0,0,0,0.14480868
0,0,0,0.15623352
0,0,0,0.15623352
0,0,0,0.14480868
0,0,0,0.14480868
0,0,0,0.15623352
0,0,0,0.19500712
0,0,0,0.18810591
0,0,0,0.20480143
0,0,0,0.3955389
0,0,0,0.16846654
0,0,0,0.16846654
0,0,0,0.27864113
0,0,0,0.12251749
0,0,0,0.12251749
0,0,0,0.124094374
0,0,0,0.12904878
0,0,0,0.12904878
0,0,0,0.20072125
0,0,0,0.18582569
0,0,0,0.18111219
0,0,0,0.18111219
0,0,0,0.19972467
0,0,0,0.1835321
0,0,0,0.1835321
0,0,0,0.18135633
0,0,0,0.22668166
0,0,0,0.22668166
0,0,0,0.22668166
0,0,0,0.22668166
