,eff,values,feature
100,0.0,0.4009139,dns_interlog_time_q2
101,1.0,0.40333194,dns_interlog_time_q2
102,2.0,0.40333194,dns_interlog_time_q2
103,3.0,0.40333194,dns_interlog_time_q2
104,4.0,0.40333194,dns_interlog_time_q2
105,5.0,0.40333194,dns_interlog_time_q2
106,0.0,0.40044963,dns_interlog_time_q3
107,1.0,0.40044963,dns_interlog_time_q3
108,2.0,0.40044963,dns_interlog_time_q3
109,0.0,0.40044963,dns_interlog_time_q4
110,1.0,0.40044963,dns_interlog_time_q4
111,0.0,0.40044963,dns_interlog_time_q5
112,1.0,0.40044963,dns_interlog_time_q5
113,0.0,0.35889468,ssl_interlog_time_q1
114,6.515151515151516,0.35889468,ssl_interlog_time_q1
115,13.030303030303031,0.3755652,ssl_interlog_time_q1
