,dns_interlog_time_q1,dns_interlog_time_q2,dns_interlog_time_q3,dns_interlog_time_q4,dns_interlog_time_q5,ssl_interlog_time_q1,ssl_interlog_time_q2,ssl_interlog_time_q3,ssl_interlog_time_q4,ssl_interlog_time_q5,http_interlog_time_q1,http_interlog_time_q2,http_interlog_time_q3,http_interlog_time_q4,http_interlog_time_q5,mean_interlog_time_dns_interlog_time,std_interlog_time_dns_interlog_time,mean_interlog_time_ssl_interlog_time,std_interlog_time_ssl_interlog_time,mean_interlog_time_http_interlog_time,std_interlog_time_http_interlog_time,dns_protocol_tcp_ratio,dns_common_tcp_ports_ratio,dns_common_udp_ports_ratio,dns_rcode_error_ratio,dns_rcode_nxdomain_ratio,dns_rcode_noauth_ratio,dns_rcode_refused_ratio,dns_rcode_notzone_ratio,dns_authoritative_ans_ratio,dns_recursion_desired_ratio,dns_rejected_ratio,dns_truncation_ratio,dns_mean_TTL,dns_len_TTL,dns_qtype_obsolete_ratio,dns_non_reserved_srcport_ratio,dns_non_reserved_dstport_ratio,dns_usual_dns_srcport_ratio,dns_usual_dns_dstport_ratio,dns_shorturl_ratio,dns_compromised_domain_ratio,dns_compromised_dstip_ratio,dns_socialmedia_ratio,ssl_version_ratio_v10,ssl_version_ratio_v20,ssl_version_ratio_v30,ssl_established_ratio,ssl_compromised_dst_ip_ratio,ssl_resumed_ratio,ssl_validation_status_ratio,ssl_curve_standard_ratio,ssl_last_alert_ratio,http_request_body_len_ratio,http_response_body_len_ratio,http_method_get_ratio,http_method_post_ratio,http_method_head_ratio,http_method_put_ratio,http_status_200_ratio,http_status_400_ratio,http_private_con_ratio,http_compromised_dstip_ratio,http_version_obsolete_ratio,smtp_in_mean_hops,smtp_subject_num_words,smtp_subject_num_characters,smtp_subject_richness,smtp_subject_in_phishing_words,smtp_in_is_reply,smtp_in_is_forwarded,smtp_in_is_normal,smtp_in_is_spam,smtp_in_files,smtp_in_hazardous_extensions,non_working_days_dns,non_working_days_http,non_working_days_ssl,non_working_hours_dns,non_working_hours_http,non_working_hours_ssl,GroundTruth,Predicted
1936,3.0,1.0,0.0,0.0,0.0,566.0,0.0,0.0,0.0,0.0,115.0,1.0,1.0,0.0,0.0,40.648,0.0,3.580770318021201,0.0,7.029982905982905,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,3480.25,2.3333333333333335,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47030497592295345,0.0,0.7191011235955056,0.5665376262864696,0.8735669194997013,0.0,0.0,253170.51937984495,0.8294573643410853,0.007751937984496124,0.16279069767441862,0.0,0.8217054263565892,0.0,82.28682170542636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1,0
1937,3.0,1.0,0.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0,116.0,1.0,1.0,0.0,0.0,40.648,0.0,3.8405450381679387,0.0,6.970593220338983,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,3480.25,2.3333333333333335,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4654696132596685,0.0,0.7030386740331491,0.6270068248293792,0.8824857608402127,0.0,0.0,248794.94696969696,0.8333333333333334,0.007575757575757576,0.1590909090909091,0.0,0.8106060606060606,0.0,80.46212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,1,0
1938,3.0,1.0,0.0,0.0,0.0,718.0,0.0,0.0,0.0,0.0,118.0,1.0,1.0,0.0,0.0,40.648,0.0,4.324101671309192,0.0,6.942049999999999,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,3480.25,2.3333333333333335,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4703656998738966,0.0,0.6973518284993695,0.5942029523032416,0.8837865923977186,0.0,4.5,241541.74264705883,0.8088235294117647,0.03676470588235294,0.15441176470588236,0.0,0.8161764705882353,0.0,78.21323529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,1,0
1939,0.0,0.0,0.0,0.0,0.0,739.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,4.361096075778079,0.0,17.1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.49106078665077474,0.0,0.700834326579261,0.6872158974148207,0.9094527052675122,0.0,14.926829268292684,28284.756097560974,0.9024390243902439,0.0975609756097561,0.0,0.0,0.5853658536585366,0.0,16.146341463414632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0
1940,0.0,0.0,0.0,0.0,0.0,991.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,3.3536912209889,0.0,17.1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.6958855098389982,0.7915093660683076,0.9090191386753402,0.0,15.3,28973.7,0.9,0.1,0.0,0.0,0.575,0.0,16.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,0.0,1,0
1941,5.0,0.0,0.0,0.0,0.0,1005.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,1.0004,0.0,3.267672636815921,0.0,17.098285714285716,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.85714285714286,1.2857142857142858,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5106571936056838,0.0,0.6918294849023091,0.8144546112939604,0.9150394620153927,0.0,15.3,28843.55,0.9,0.1,0.0,0.0,0.5,0.0,16.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,0.0,1,0
1942,5.0,0.0,0.0,0.0,0.0,934.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0004,0.0,3.5435860962566843,0.0,1.5401428571428573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.85714285714286,1.2857142857142858,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5133079847908745,0.0,0.6749049429657795,0.853304080149239,0.9128767798779273,0.0,40.8,12712.0,0.7333333333333333,0.26666666666666666,0.0,0.0,0.3333333333333333,0.0,3.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,1,0
1943,5.0,0.0,0.0,0.0,0.0,883.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0004,0.0,3.7564886877828054,0.0,1.6317,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.85714285714286,1.2857142857142858,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5352822580645161,0.0,0.688508064516129,0.803100697900201,0.9127897619557972,0.0,34.0,13713.277777777777,0.7777777777777778,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,1,0
1944,5.0,0.0,0.0,0.0,0.0,861.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0004,0.0,3.6462354988399075,0.0,0.7251250000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.85714285714286,1.2857142857142858,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.546583850931677,0.0,0.6997929606625258,0.8291158305559,0.91320301296772,0.0,0.0,17006.785714285714,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,4.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,1.0,0.0,0.0,0.0,1,0
1945,5.0,0.0,0.0,0.0,0.0,677.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0004,0.0,4.60407669616519,0.0,1.1222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.85714285714286,1.2857142857142858,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5887850467289719,0.0,0.7289719626168224,0.7899889911695126,0.9328926853796107,0.0,0.0,26455.0,1.0,0.0,0.0,0.0,0.2222222222222222,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,1,0
1946,5.0,0.0,0.0,0.0,0.0,488.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0004,0.0,6.4447955010224955,0.0,0.7230000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.85714285714286,1.2857142857142858,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.609981515711645,0.0,0.7375231053604436,0.7015199024149311,0.921309590525296,0.0,0.0,17006.785714285714,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,4.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,1.0,0.0,0.0,0.0,1,0
1947,0.0,0.0,0.0,0.0,0.0,309.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.251906451612903,0.0,0.6704444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6617647058823529,0.0,0.7235294117647059,0.4004524886877828,0.8883445516901399,0.0,0.0,28002.066666666666,1.0,0.0,0.0,0.0,0.2,0.0,4.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1,0
1948,0.0,0.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,8.970070422535212,0.0,1.1412758620689654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364,0.0,0.6857142857142857,0.40411017553874695,0.8476236693270821,0.0,393.2121212121212,176548.62121212122,0.696969696969697,0.30303030303030304,0.0,0.0,0.3939393939393939,0.07575757575757576,40.42424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1,0
1949,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,9.249643874643874,0.0,1.1228888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6256544502617801,0.0,0.6884816753926701,0.407283815660779,0.8463849247705634,0.0,432.53333333333336,190235.23333333334,0.6666666666666666,0.3333333333333333,0.0,0.0,0.4,0.08333333333333333,43.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1,0
1950,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,9.141764864864864,0.0,1.1228888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6417910447761194,0.0,0.7039800995024875,0.4118965611502925,0.8567500203953419,0.0,432.53333333333336,190235.23333333334,0.6666666666666666,0.3333333333333333,0.0,0.0,0.4,0.08333333333333333,43.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1,0
1951,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,8.720584210526317,0.0,1.1228888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6301703163017032,0.0,0.6982968369829684,0.4138258335338627,0.8548732412124607,0.0,425.44262295081967,187116.62295081967,0.6721311475409836,0.32786885245901637,0.0,0.0,0.39344262295081966,0.08196721311475409,43.26229508196721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1,0
1952,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,9.58481976744186,0.0,4.683052631578948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6513513513513514,0.0,0.7216216216216216,0.3416988416988417,0.8260237748025073,0.0,405.5,178345.53125,0.6875,0.3125,0.0,0.0,0.375,0.078125,41.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1,0
1953,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,10.501836012861736,0.0,4.847836363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6163141993957704,0.0,0.7069486404833837,0.43029779887785935,0.8167833607354185,0.0,432.53333333333336,187202.96666666667,0.6666666666666666,0.3333333333333333,0.0,0.0,0.38333333333333336,0.08333333333333333,44.43333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1,0
