,dns_interlog_time_q1,dns_interlog_time_q2,dns_interlog_time_q3,dns_interlog_time_q4,dns_interlog_time_q5,ssl_interlog_time_q1,ssl_interlog_time_q2,ssl_interlog_time_q3,ssl_interlog_time_q4,ssl_interlog_time_q5,http_interlog_time_q1,http_interlog_time_q2,http_interlog_time_q3,http_interlog_time_q4,http_interlog_time_q5,mean_interlog_time_dns_interlog_time,std_interlog_time_dns_interlog_time,mean_interlog_time_ssl_interlog_time,std_interlog_time_ssl_interlog_time,mean_interlog_time_http_interlog_time,std_interlog_time_http_interlog_time,dns_protocol_tcp_ratio,dns_common_tcp_ports_ratio,dns_common_udp_ports_ratio,dns_rcode_error_ratio,dns_rcode_nxdomain_ratio,dns_rcode_noauth_ratio,dns_rcode_refused_ratio,dns_rcode_notzone_ratio,dns_authoritative_ans_ratio,dns_recursion_desired_ratio,dns_rejected_ratio,dns_truncation_ratio,dns_mean_TTL,dns_len_TTL,dns_qtype_obsolete_ratio,dns_non_reserved_srcport_ratio,dns_non_reserved_dstport_ratio,dns_usual_dns_srcport_ratio,dns_usual_dns_dstport_ratio,dns_shorturl_ratio,dns_compromised_domain_ratio,dns_compromised_dstip_ratio,dns_socialmedia_ratio,ssl_version_ratio_v10,ssl_version_ratio_v20,ssl_version_ratio_v30,ssl_established_ratio,ssl_compromised_dst_ip_ratio,ssl_resumed_ratio,ssl_validation_status_ratio,ssl_curve_standard_ratio,ssl_last_alert_ratio,http_request_body_len_ratio,http_response_body_len_ratio,http_method_get_ratio,http_method_post_ratio,http_method_head_ratio,http_method_put_ratio,http_status_200_ratio,http_status_400_ratio,http_private_con_ratio,http_compromised_dstip_ratio,http_version_obsolete_ratio,smtp_in_mean_hops,smtp_subject_num_words,smtp_subject_num_characters,smtp_subject_richness,smtp_subject_in_phishing_words,smtp_in_is_reply,smtp_in_is_forwarded,smtp_in_is_normal,smtp_in_is_spam,smtp_in_files,smtp_in_hazardous_extensions,non_working_days_dns,non_working_days_http,non_working_days_ssl,non_working_hours_dns,non_working_hours_http,non_working_hours_ssl
0,5.0,5.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,91.3825,0.0,5.720023668639052,0.0,9.914183333333334,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,74.71428571428571,2.2142857142857144,0.07142857142857142,1.0,0.9285714285714286,0.9285714285714286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2887700534759358,0.0,0.7058823529411765,0.5790513833992096,0.7813686739517941,0.0,0.0,2788.046875,0.875,0.0,0.125,0.0,0.71875,0.09375,50.0,0.0,0.0,2.0,15.0,94.0,0.16112938134187818,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
0,5.0,5.0,0.0,0.0,0.0,205.0,1.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,91.3825,0.0,7.132155339805825,0.0,9.914183333333334,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,74.71428571428571,2.2142857142857144,0.07142857142857142,1.0,0.9285714285714286,0.9285714285714286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3008849557522124,0.0,0.7079646017699115,0.6516929588303194,0.8075926638450686,0.0,0.0,2712.0454545454545,0.8787878787878788,0.0,0.12121212121212122,0.0,0.7121212121212122,0.10606060606060606,48.54545454545455,0.0,0.0,2.0,20.0,126.0,0.15836073867948394,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
0,5.0,5.0,0.0,0.0,0.0,216.0,2.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,91.3825,0.0,8.953729357798165,0.0,9.75327868852459,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,74.71428571428571,2.2142857142857144,0.07142857142857142,1.0,0.9285714285714286,0.9285714285714286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.7083333333333334,0.6720108695652175,0.8188164251207729,0.0,0.0,2616.9710144927535,0.8840579710144928,0.0,0.11594202898550725,0.0,0.7101449275362319,0.11594202898550725,46.56521739130435,0.0,0.0,2.0,20.0,126.0,0.15836073867948394,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
0,5.0,5.0,0.0,0.0,0.0,233.0,3.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,91.3825,0.0,9.762402542372884,0.0,9.75327868852459,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,74.71428571428571,2.2142857142857144,0.07142857142857142,1.0,0.9285714285714286,0.9285714285714286,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3053435114503817,0.0,0.7213740458015268,0.6995519415864587,0.8260332211211733,0.0,0.0,2553.112676056338,0.8873239436619719,0.0,0.11267605633802817,0.0,0.704225352112676,0.1267605633802817,45.309859154929576,0.0,0.0,2.0,20.0,126.0,0.15836073867948394,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
0,4.0,3.0,0.0,0.0,0.0,109.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,80.14000000000001,0.0,16.973714285714287,0.0,60.98985714285715,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.30158730158730157,0.0,0.8095238095238095,0.7976190476190477,0.9451378619080482,0.0,0.0,265.26666666666665,1.0,0.0,0.0,0.0,0.7333333333333333,0.26666666666666666,5.4,0.0,0.0,2.0,22.0,134.0,0.16417910447761194,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.958850746268656,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3466666666666667,0.0,0.76,1.0,0.9373968253968253,0.0,0.0,405.14285714285717,1.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,2.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.823433333333334,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.8055555555555556,1.0,0.9417989417989419,0.0,0.0,455.2,1.0,0.0,0.0,0.0,0.6,0.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.55633333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36363636363636365,0.0,0.8636363636363636,1.0,0.9047619047619048,0.0,0.0,350.0,1.0,0.0,0.0,0.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.3313333333333333,0.0,9.206060606060607,0.0,17.764545454545456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,597.0,3.2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34210526315789475,0.0,0.7105263157894737,0.6,0.8387096774193549,0.0,0.0,1376.4583333333333,0.9583333333333334,0.0,0.041666666666666664,0.0,0.625,0.041666666666666664,24.0,0.0,0.0,2.0,3.0,28.0,0.10714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,0.0,0.0,48.0,1.0,1.0,0.0,0.0,26.0,1.0,1.0,0.0,0.0,0.3313333333333333,0.0,16.14072,0.0,33.752785714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,597.0,3.2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2807017543859649,0.0,0.7192982456140351,0.7333333333333333,0.8702508960573477,0.0,0.0,2144.53125,0.9375,0.0,0.0625,0.0,0.6875,0.0625,20.0,0.0,0.0,2.0,3.0,28.0,0.10714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,0.0,0.0,82.0,2.0,1.0,0.0,0.0,27.0,1.0,2.0,0.0,0.0,0.3313333333333333,0.0,13.55870588235294,0.0,43.048066666666664,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,597.0,3.2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2127659574468085,0.0,0.7978723404255319,0.8382978723404255,0.8994547395714177,0.0,0.0,1935.5555555555557,0.9444444444444444,0.0,0.05555555555555555,0.0,0.6944444444444444,0.08333333333333333,18.22222222222222,0.0,0.0,2.0,3.0,28.0,0.10714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,0.0,0.0,97.0,2.0,1.0,0.0,0.0,28.0,1.0,2.0,0.0,0.0,0.3313333333333333,0.0,16.10555,0.0,41.66277419354839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,597.0,3.2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24324324324324326,0.0,0.7927927927927928,0.8120120120120119,0.8820350304221273,0.0,0.0,1804.7948717948718,0.9487179487179487,0.0,0.05128205128205128,0.0,0.6923076923076923,0.10256410256410256,17.05128205128205,0.0,0.0,2.0,3.0,28.0,0.10714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,0.0,0.0,102.0,3.0,1.0,0.0,0.0,28.0,1.0,2.0,0.0,0.0,0.3313333333333333,0.0,18.526339622641512,0.0,41.66277419354839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,597.0,3.2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23529411764705882,0.0,0.773109243697479,0.757422969187675,0.8899654485450095,0.0,0.0,1739.3902439024391,0.9512195121951219,0.0,0.04878048780487805,0.0,0.6829268292682927,0.12195121951219512,16.317073170731707,0.0,0.0,2.0,3.0,28.0,0.10714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,0.0,0.0,110.0,3.0,1.0,0.0,0.0,28.0,1.0,2.0,0.0,0.0,0.3313333333333333,0.0,20.21505263157895,0.0,41.66277419354839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,597.0,3.2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24806201550387597,0.0,0.7751937984496124,0.7762273901808785,0.8898819943081009,0.0,0.0,1673.1162790697674,0.9534883720930233,0.0,0.046511627906976744,0.0,0.6744186046511628,0.13953488372093023,15.651162790697674,0.0,0.0,2.0,3.0,28.0,0.10714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,97.0,3.0,1.0,0.0,0.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,23.154475247524754,0.0,65.28765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22123893805309736,0.0,0.7345132743362832,0.7817109144542772,0.8868099452170248,0.0,0.0,4298.71875,0.875,0.0,0.125,0.0,0.5625,0.28125,8.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,96.0,3.0,0.0,0.0,0.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,23.062535353535356,0.0,77.2109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23423423423423423,0.0,0.7477477477477478,0.7777777777777778,0.8859716859716861,0.0,0.0,3685.035714285714,0.8928571428571429,0.0,0.10714285714285714,0.0,0.4642857142857143,0.32142857142857145,7.785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,74.0,3.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,30.974454545454538,0.0,66.24486666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6444444444444445,0.5925925925925926,0.8377601410934744,0.0,0.0,3864.3333333333335,0.8888888888888888,0.0,0.1111111111111111,0.0,0.4074074074074074,0.3333333333333333,7.814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,71.0,3.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,31.49041891891892,0.0,70.96921428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3218390804597701,0.0,0.6436781609195402,0.4827586206896552,0.8606276226965883,0.0,0.0,4018.230769230769,0.8846153846153846,0.0,0.11538461538461539,0.0,0.38461538461538464,0.34615384615384615,7.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,73.0,2.0,1.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,31.34851315789474,0.0,70.96921428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36666666666666664,0.0,0.6444444444444445,0.5888888888888889,0.8194400352733685,0.0,0.0,4018.4615384615386,0.8846153846153846,0.0,0.11538461538461539,0.0,0.38461538461538464,0.34615384615384615,7.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
